label,text
1,"The employer , together with health personnel , supports quitting and pays part of the cost of nicotine treatments ."
2,The company expects net sales to significantly increase from 2009 .
2,CDLI highlights the companies that provided the most comprehensive response to the Carbon Disclosure Project CDP information request .
2,"Kaido Kaare , general director for Atria Eesti , says the company 's investments in the upgrade of the pig farms surpass EEK 150mn EUR 9.59 mn USD 14.19 mn in the past years ."
1,`` The rest of this week 's tapings of Jimmy Kimmel Live have been canceled until he is back on his feet .
0,"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier ."
1,"`` This agreement is a direct result of LCC 's strategy and plan that was announced earlier this year , '' said Dean Douglas , LCC 's chief executive officer ."
2,Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America .
2,"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share ."
1,This beauty is an updated version of her chichi loop shade launched in 2001 .
1,"Operating profit for the six-month period decreased from EUR111 .9 m , while sales increased from EUR1 ,275 m , as compared to the corresponding period in 2006 ."
0,As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .
1,The value of the order is EUR 2.5 mn .
2,Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .
1,"BasWare is headquartered in Espoo , Finland ."
1,"UK 's Sarantel to outsource part of its processes to Elcoteq plant in Estonia LONDON , Oct 13 , BNS - The British miniature antennas maker Sarantel has signed an agreement to outsource its assembly test and supply chain processes to the plant of Elcoteq in the Estonian capital Tallinn ."
2,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn ."
1,The EUR17m contract includes both design and construction works .
2,Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .
2,This is the first time Finnair has been awarded an agreement with the UK government .
1,"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway ."
1,"Our objective is to yield a significant part of our turnover in Russia in a couple of years , '' says Solteq 's Managing Director Hannu Ahola ."
2,The layoffs were aimed at reaching an annual savings target of 1.5 billion euros $ 2 billion by the end of 2010 .
1,"U.S.-based T Corp. is in talks with Scandinavian telecoms company TeliaSonera to sell its stake in Uzbek cellular operator Coscom , an executive at Coscom told Interfax ."
2,The Finnish group anticipates a sales gain of EUR42m after tax and expenses .
1,"TVO 's two-unit 1,740 MW Olkiluoto plant generated 14.2 TWh with an operating ratio across both reactors of 93.5 % , which the company described as `` high by international standards '' ."
1,"Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region , about 20 % to the St Petersburg region , and the remainder to other locations ."
1,"Janis Arbidans , CEO of YIT Celtnieciba , said the company was focusing on housing and real estate development market ."
2,"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 ."
1,"It holds 38 percent of Outokumpu 's shares and voting rights , but in 2001 lawmakers gave it permission to reduce the stake to 10 percent ."
2,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 ."
2,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars ."
1,This is due to the postponement of the decision-making of projects in the negotiation phase from the earlier estimation .
1,"With five different game modes , co-op tournaments , 4 player split-screen and multiplayer modes , players can have as much fun as they would if they were actually fishing ."
2,The company 's market share is continued to increase further .
1,Talentum acquired a 47.5 pct stake in Varesvuo Partners in 1997 and the remaining in 2002 and 2005 .
2,Raisio 's malting capacity was in full use in 2008 .
2,Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .
2,"`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement ."
1,Finnish forestry company UPM-Kymmene and waste management company Lassila & Tikanoja said on Jan. 30 they were planning to produce ethanol and energy from commercial and industrial waste .
1,"The company will use the money for product development and research activities through 2013 in its key markets Finland , Germany , Italy and France ."
0,18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .
1,"In Finland , the five largest brands control 90 % of the beer market ."
1,Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .
1,"Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007 ."
1,"So , at the present time Nokian tires had the contract of tires production in China ."
1,The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom .
2,"Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy ."
2,"The EBITDA was EUR116m compared to EUR115m , corresponding to an EBITDA margin of 33 % ."
1,"The order also covers design services , hardware , software licences , as well as maintenance services over six years ."
1,The purchase sum is about EUR 10mn US$ 12.97 mn .
1,Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .
1,"The total value of the order , placed by Aspo ' marine transportation subsidiary ESL Shipping Oy , is EUR 60 million ( USD 77.5 m ) ."
2,"ST. PETERSBURG , Oct 14 ( PRIME-TASS ) -- Finnish tire producer Nokian Tyres plans to invest about 50 million euros in the expansion of its tire plant in the city of Vsevolozhsk in Russia 's Leningrad Region in 2011 , the company 's President Kim Gran told reporters Thursday ."
1,"says Brian Burton , Head of IT Security , Vodafone UK ."
1,The appointments will be in force until the new CEO has been appointed .
1,It appears from statistics of the Technical Surveillance Authority that customers who switch service providers mostly transfer their numbers to Elisa 's network .
1,Competition authorities will have to approve the deal before it can be finalized .
2,Productional situation has now improved .
1,"The EBRD is using its own funds to provide a 21.6 mln A loan while the B portion of 10 mln Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 mln Euros and Pohjola Bank Plc 2.3 mln Euros ."
0,The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .
1,This wood lacquered clock comes with a stripy hand-crocheted cover .
1,Olli-Pekka Kallasvuo was elected as vice chairman of the Board .
1,"LLC , a voice and data management solution provider to wireless companies with operations worldwide , will be transferring its U.S. deployment operations to the Finnish mobile giant , which includes civil works and site acquisition services ."
1,"The deal includes the entire personnel of PlanMill Oy , who will transfer to the new company as so-called old employees ."
1,"The development of the technological park , which will specialize in telecommunications and information technologies , is part of the state program for the formation of technoparks for hi-tech sectors in Russia ."
2,"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 ."
1,Incap Corporation Stock Exchange Release 4 May 2010 at 8.30 a.m. INCAP CORPORATION 'S DIRECTED SHARE ISSUE WAS SUBSCRIBED IN FULL The Board of Incap Corporation has approved the subscriptions of directed share issue .
2,Deliveries have started and the network will be ready for a launch soon .
2,Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .
1,The total emissions reduction from 1999 to 2017 will be thus 41 % .
1,Net sales in 2007 totalled EUR 329 million and the operating margin was above 19 % .
1,The company 's main shareholders Lihakunta and Itikka Osuuskunta have both made a commitment to acquire shares worth EUR 20mn .
1,Financial terms were not disclosed .
2,TELE2 Affarsvarlden gave a `` buy '' recommendation on mobile operator Tele2 AB and a share price target of 142 crowns ( $ 23.54 - 15.19 euro ) .
0,"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier ."
1,RIM has revamped the BlackBerry OS UI with the 6.0 version of the mobile operating system .
1,Net profit in the same period in 2006 was (  x20ac ) 172 million .
1,In the meantime the CEO 's duties will be assumed by Outotec 's Deputy CEO Seppo Rantakari .
2,"The refining margin for the year was $ 13.39 - bbl , compared to $ 10.46 - bbl in the prior year ."
1,"City24 users can search for homes and properties in all areas where City24 is active , even outside their own country ."
1,This PC application allows users to copy files and other data from their Nokia mobile device to their computer as well as create backup content .
1,The group 's net sales in 2007 were EUR683 .6 m.
1,"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein ."
1,Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium .
1,The total value of the contract is some EUR 8 million .
0,LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .
1,It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 .
1,Finnish construction company Lemminkainen Oyj HEL : LEM1S said yesterday that it would build a plastic film extrusion plant for packaging materials supplier Ab Rani Plast Oy at Lemminkainen 's Kaluga industrial park in Russia .
1,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .
0,Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .
1,`` They want my credit card info and my personal details .
2,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year ."
0,Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .
1,"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland ."
2,The company will use the assets for strengthening its balance sheet and financial position .
2,"HELSINKI AFX - KCI Konecranes said it has raised its stake in MMH Holdings Inc , the owner of US-based Morris Materials Handling , to 90.9 pct from 74.5 pct ."
1,"In Europe , the paper industry 's situation is paradoxical ."
1,Finnish component supplier Componenta Corporation OMX Helsinki : CTH1V said on Monday 16 June that it is changing its pricing cycle due to the increase of raw material prices .
1,"Stora Enso 's business in North America has annual capacity of about 3 million tons and employs about 4,350 people ."
0,"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition ."
1,"AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said ."
2,South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .
1,"Our solutions are fully Arabized , and our message is that we want to become the IT partner of choice for businesses in the Near-East region ."
1,The financial details of the transaction were not disclosed .
1,Unilever 's Turun Sinappi that is made in Sweden holds 40 % of the market .
1,"QPR has an established international customer base , spread over 70 countries in 2009 , and a variety of organizations including banks , manufacturing companies , service companies and government authorities ."
1,"Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap ."
2,The divestment of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .
1,"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares ."
2,The company said it estimates to make a slight profit thanks to cost-cutting measures .
1,The per-share subscription price of the shares subscribed with the option rights was EUR 1.35 .
1,Elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter .
0,"The negotiation has resulted in the reduction of 80 people in regular employment , around half of which will be covered with pension arrangements ."
2,"Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 ."
0,"The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said ."
1,About Stonesoft Corporation Stonesoft Corporation ( OMX : SFT1V ) is an innovative provider of integrated network security solutions to secure the information flow of distributed organizations .
2,"Production capacity will rise gradually from 170,000 tonnes to 215,000 tonnes ."
2,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .
1,The company may at any time have in its possession one tenth of all its shares at the maximum .
1,"The total value of the project is about EUR53m , including the plots that will be transferred to Atria ."
1,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries ."
2,"Cost savings will then rise to some 20 mln eur a year from 2007 , OKO said ."
1,The fine print is here .
1,"In the sinter plant , limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for iron-making ."
2,"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market ."
1,"The new company , DiaPol S.r.l. , would manufacture tools meant for glass and stone pre-processing ."
1,"Previously , the plant was expected to be completed by the end of 2008 ."
1,Europe however remains an important and strong market for us .
1,"According to Tyrv+Æinen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy ."
1,Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis .
1,"Niina Nenonen , Marimekko 's current director for clothing , bags and accessories lines , will take up this role ."
1,The Extraordinary General Meeting is expected to take place no later than 18 February 2011 .
1,A quick `` one-stop-shop '' to understand the company .
2,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups ."
1,The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI .
1,"YIT acquired investment rights to a 10,000 square metre residential project in Yaroslavl and to a 16,400 square metre project in Moscow ."
2,"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka ."
1,The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 .
0,The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR 93.9 million USD 137.3 m as given in the interim report on August 5 .
2,"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier ."
2,Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .
0,Sales of mid-strength beer decreased by 40 % .
0,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier ."
1,The facility consists of a seven year bullet term loan of 200 mln euro $ 292.4 mln and a 150 mln euro $ 219.3 mln five year revolving credit facility .
1,High winds also toppled three semi-trailers on I-15 north of Barstow .
2,Revenues at the same time grew 14 percent to 43 million euros .
1,"Risto Jalo , chief executive of Dormus Print and also owner of the remainder of the company , will keep his position after the acquisition ."
1,Travel expenses would be reimbursed in accordance with the travel policy of the company .
1,"Finnish IT consultancy Satama Interactive Oyj said on November 13 , 2006 that Jarmo Lonnfors took up the position of CEO ."
2,` Very recommendable ' is the Nokian Z G2 according to the ` ADAC judgement ' in the latest summer tyre test of the German automobile association ADAC .
1,Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki .
1,A huge issue for us is the button placement .
0,Net sales fell by 5 % from the previous accounting period .
1,The company operates power plants in the Tyumen and Chelyabinsk regions and in the Khanty-Mansi Autonomous District .
1,"The outsourced Scan and Capture solutions transfer paper invoices into electronic format , and Basware Business Transactions Service allows the customer to receive and send invoices in an electronic format ."
1,"Nastola , axe 14 jobs 16 February 2010 - Finnish wood products technology firm Raute Oyj HEL : RUTAV said today that it will transfer to Nastola , southern Finland , the production of its Jyvaskyla plant , which will affect 14 people ."
1,"The business is organised , as of February 1 , 2011 , in a way that production of design services is combined into one entity , Etteplan Operations ."
2,"The three year turn-around program is expected to ensure Salomon 's future competitiveness , the company said ."
1,"M-real Corporation Stock Exchange Release 27 August 2009 at 3.15 pm M-real has received the EUR 190 million cash payment from Sappi M-real Corporation , a part of Mets+Æliitto Group , divested its Graphic Papers business to Sappi Limited at the end of 2008 for EUR 750 million ."
2,The cooperation will double The Switch 's converter capacity .
1,Fortum is now considering taking part in nuclear energy projects outside of Finland .
1,The project is expected to be completed in 2009 .
1,"The company 's objective is to offer the best people flow experience by developing and delivering solutions that enable people to move smoothly , safely , comfortably and without waiting in buildings in an increasingly urbanizing environment ."
1,"A total of 1,800,000 stock options were issued in the 2003 stock option scheme ."
1,The order was worth EUR 8mn .
2,"Employees are also better prepared to answer calls , since they already have detailed information about the caller before they answer the phone . ''"
1,"According to Gallup Food and Farm Facts , beef consumption totaled 99mn kilos in Finland in 2007 ."
1,"The equipment is designated to Bollore Africa Logistics terminal Societe d'Exploitation du Terminal de Vridi SETV in Abidjan , Ivory Coast and the delivery is scheduled to start in March 2010 ."
