text,label
The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .,2
Tesco leads FTSE higher on Clubcard bid reports,2
"The Process Products orders are for the installation of separation-filtration equipment at three natural gas pipeline projects in China , South America , and Saudi Arabia .",1
Exel wants to serve its industrial customers with individual products .,1
"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",2
The value of the orders is over EUR 10mn .,1
"According to him , construction work will start in spring 2007 , and the facility is to be commissioned in spring 2008 .",1
"$amrn Full bull call spread ranging July to Jan 15. Lets see what this baby does,",2
The objective of the planned measures is to achieve significant savings in the next few years .,2
Glencore blames rivals for creating metals glut,0
The company said that its comparable operating profit for the January-June period fell short of last year 's corresponding performance .,0
These module products will be available for trials during 3Q-07 and for volume deliveries during 4Q-07 .,1
"Participants at any of the book discussions or other special events , or visitors to the car dealership were eligible to enter the drawing for the 2005 silver , four-door Altima .",1
"Ahlstrom 's 5,700 employees serve customers via sales offices and production facilities in more than 20 countries on six continents .",1
"Product deliveries will not be interrupted , the refiner said , giving no financial details .",1
Should You Follow Berkshire Hathaway Into Apple Stock?,1
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",1
$AAPL Nice RSI 33 bounce at 9:58,2
Each option right entitles the holder to subscribe for one new share at a subscription price of EUR0 .045 during the subscription period which ends on 31 December 2013 .,1
"Metrics in QPR ScoreCard now support date , text and milestone-based values , which improve its support for managing projects around performance or process-related content .",2
$FB gettin in the buy zone soon ;),2
"The transaction covers a building lot of 46,763 sq m and factory buildings of 19,631 sq m. Since the autumn of 2007 , when Scanfil discontinued its production operations in Oulu , the facilities have been partly leased to other parties .",1
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",2
"Tesco, Asda sales fall as march of the discounters continues: Kantar",0
CompaniesLSE adds ex-SEC head Schapiro to board,1
Finnish consumers prefer to buy the cheapest beer brand .,1
"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",2
This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,2
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",2
The value of the order is nearly EUR400m .,1
Roshan 's net sales in 2006 were $ 191 million and EBITDA was $ 66.5 million .,1
$mako hanging in well today. still in a basing pattern. have eyes on it,2
Nordea 's chairman of the board Hans Dalborg has informed the nomination committee that he will not be up for re-election at the Annual General Meeting in 2011 .,1
"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .",2
Whitbread boss Andy Harrison defends sales fall as 'just a blip',0
"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",1
Okmetic revised its 2010 financial outlook based on its order book .,1
"The EBRD is using its own funds to provide a 21.6 mln A loan while the B portion of 10 mln Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 mln Euros and Pohjola Bank Plc 2.3 mln Euros .",1
The diesel margin has remained high .,2
"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 .",1
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,0
Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,2
"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones .",1
"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila .",2
Tesla issues its first Model X recall https://t.co/t1kMqVwhQQ $TSLA,0
The value of the order is EUR 2.5 mn .,1
"In 2007 , Huhtamaki will continue to invest in organic growth .",1
"$YOKU high volume blast off Friday, goes higher  http://stks.co/qSaL",2
Total operating revenue grew by 27.6 % year-on-year to EUR61m .,2
Passengers rise at EasyJet and Aer Lingus,2
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",0
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",0
"More than 50,000 tonnes of asphalt mix will be used in the contract .",1
$VRTX early technical BUY signal... for confirmation > 86 it needs some fundam. incentive https://t.co/QuYSrqFo2x,2
The announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for Texas Instrument chips which use Qualcomm-patented technology .,1
"Protalix closed at $ 10.71 on Friday on the American Stock Exchange , giving a market cap of $ 827 million .",1
Financing of the project will come mainly from China .,1
`` Fixed Mobile Convergence solutions represent a key value proposition in today 's communication market .,1
"In Asia earlier , Japan 's Nikkei index fell 0.62 percent and Hong Kong 's Hang Seng Index rose 0.56 percent .",1
"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces .",1
Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .,0
Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .,1
"The project will be a 2 x 600 MW coal-fired power plant , located some 420 km south of Hanoi , the company said .",1
Completion of the transaction is subject to a final agreement and a Due Diligence process .,1
$GILD  is expanding its research facilities...keeping up with the pace of innovation  https://t.co/uOE7FJ4LOP,2
"The shares subscribed for under the stock options were registered in the Trade Register on 20 January 2011 , as of which date the new shares will establish shareholder rights .",1
GET MIDNIGHTTRADER IN REALTIME : This report is delayed .,1
Calls to the switchboard and directory services have decreased significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,1
"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200",0
55 workers in +Ã m+Ãl will be affected by the close-down .,1
"@Stockoptionexpert: $MAT - 6%, big trader added 10000 April put contracts 3 days ago  http://stks.co/c1Ols",0
"The board machine , which will have a wire width of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day .",1
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",0
$GALE Breakout Coming Soon!,2
"Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago .",2
"With the acquisition , the company will expand its offering to North , Central and South America , it said .",2
"Finnish Ahlstrom Corporation will double its investments in a new specialty glassfiber reinforcement plant in South Carolina , in the US .",2
The company said that the results of the third quarter do not include non-recurring items .,1
What we think ?,1
This amount will not be included in the pensionable salary .,1
"On the other hand , Finnish sawmills ' production has decreased even more .",0
Lemcon signed an investment cooperation agreement with the Kaluga regional administration last November .,2
The shares subscribed will be eligible for trade on the following day from the registration .,1
"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",2
Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,2
"Unlisted British Biologicals makes B - and D - proteins , and other disease-specific supplements that cover diabetes , hepatitis , asthma and other cardiovascular ailments .",1
`` Our research shows that access to information technology has been one of the limiting factors for most small businesses especially when they work in a heterogenous network based environment .,1
$TSPT  long 8.00,2
"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .",1
"The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia .",1
The Efore plant at Saarijarvi in central Finland is one of the largest employers in the region .,1
"Approximately SEK 166 million in repayments has been demanded for overcharging in the Stockholm area , with the remaining SEK 87 million taken from the Western coast , the inspectorate said .",1
The recent troubles simply make NETeller cheaper .,1
"$KNDI #China #ElectricCar maker. China car sales +7.8%. Also, may feed off $TSLA momentum run lately.",2
Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn .,1
Finnish Componenta has published its new long-term strategy for the period 2011-2015 with the aim of growing together with its customers .,1
"Centrica extends gas deals with Gazprom, Statoil",2
"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",2
"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",1
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",0
Equity indexes working on a positive engulfing for March. $SML $RUT $IWC $SMH $SOX  Small-caps / semis with a fakeout before the b/out.,2
Petrofac share price rises despite ÃÂ£30m costs on North Sea project,1
"Following the demerger , the vice president of the group 's pharmaceutical trade in Finland , Jukka Niemi , will be appointed managing director of Oriola in addition to his current responsibilities .",1
Profit taking on $AAPL this morning?  That has to be the pressure on the stock.  I'm still bullish on $AAPL.,2
The first quarter was as expected and was in line with analysts ' forecasts .,1
"Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009 .",0
Registration is required .,1
The most significant challengers in the market are Logset and Sampo-Rosenlew .,1
Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,2
Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,2
The mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line .,1
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",2
"AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said .",1
"Sales are expected to increase in the end of the year 2006 , however .",2
"+Â£lemiste City is the environment for a knowledge-based economy providing work for 3,300 people with the total turnover of its companies amounting to EEK 5.4 bn , '' said +Â£lo P+Ã±rnits , chairman of the supervisory board of +Â£lemiste City and Mainor .",1
"According to the report , Elisa 's and DNA 's joint market share of Finland 's telecom market is 59 % .",1
EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet .,0
Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion .,2
"Elcoteq 's global service offering covers the entire lifecycle of products , from product development to after-market services .",1
"Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy .",2
"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .",0
Currently the quarterly applied surcharges differ significantly from the actual market prices .,1
"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .",1
"The contract includes software licences , application maintenance and training .",1
"The Costanza light , with an aluminum base and washable shade , comes in white , pistachio , orange , blue and red .",1
"The paper industry 's de-inking sludge , which is produced in mills that use recycled fiber when printing ink is removed from recovered paper , is also a suitable raw material .",1
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",0
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,2
The mill has long traditions and holds an established position in the markets .,2
"LKAB , headquartered in Lulea , Sweden , is a high-tech mining company producing upgraded iron ore products for the steel industry .",1
"Economic development in China is no longer taking place only on the East coast and in the Shanghai area , Vauramo says .",1
$fb small long 109.25 via calls,2
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,2
"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .",1
Seat belt recall? who cares....  I'm a buyer $TSLA,2
"The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products .",1
"Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia .",2
"Neste Oil s refineries have a combined crude oil refining capacity of approximately 260,000 barrels a day .",1
"Rio Tinto swings to loss, drops dividend policy",0
"Outokumpu of Finland , stainless steel manufacturer , plans to enter into a supply agreement with the Indian Railways .",2
stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it RT @totalguru We could possibly even see425 today $AAPL,2
"The casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment , at least the first side casing member being pivotable about a rotation axis .",1
$tsla bad day to short,2
Airbus has 100 firm orders for the A350 and 89 nonbinding commitments .,2
"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .",1
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,1
"Buffett's Berkshire builds Deere stake, dumps Exxon",2
Looking for a strong bounce $SPY -- Lunchtime rally coming. $DIA $IWM $QQQ $AA $FB,2
"FTSE 100 falls as China devaluation hits Burberry, mining stocks",0
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,2
"The technology will become available to businesses from the fourth quarter , Nokia said .",1
"The offer of some 30 million shares aimed to raise more than  x20ac 500 million US$ 640 million , was expected to be completed by Oct. 9 , Outokumpu said .",1
"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",0
GSK and Novartis complete deals to reshape both drugmakers,2
As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,1
"It 's even a little bit higher than Yara 's multiples on itself , ' an analyst in Helsinki said .",1
G4S slides on balance sheet worries,0
"Raute , headquartered in Nastola , Finland , is a technology company serving the wood products industry worldwide .",1
Nordea will coordinate the syndicated loan .,1
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .,1
"The market share of Volkswagen passenger cars in Finland was 10.1 percent , Audi had a market share of 3.1 percent and Seat 's share was 0.9 percent .",1
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,2
"Ethanol would be made from barley , and production could start in 2008 .",1
Deliveries have started and the network will be ready for a launch soon .,2
"Finnish-owned contract manufacturer of electronics Elcoteq Hungary Kft has announced plans to recruit more than 650 new staffers to fulfill new orders in P+Â®cs , where the company has two plants .",2
"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 .",1
And Ogden reportedly will shell out $ 4.2 million .,1
Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec .,1
The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,1
"$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",0
"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",2
In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .,1
"In addition , the company is considering the start of production in Russia .",1
"Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland .",1
"We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday .",0
"The city will invite , however , a public procurement tender for the tailor-made public furniture , such as park benches , litter receptacles , public toilets , as well as bus shelters , street lights , and other .",1
"It also has strong assets in electronic media , employing 18,500 an increase of 9 percent on last year .",2
"Following the move , Stora Enso holding in NewPage will remain unchanged .",1
AB InBev to Sell SABMiller Stake in China's Snow Beer,1
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,0
The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003 .,1
"CapMan has six investment areas CapMan Buyout , CapMan Technology , CapMan Life Science , CapMan Russia , CapMan Public Market and CapMan Real Estate , and each of them has a dedicated team and funds .",1
Intertek swings to ÃÂ£347 mln loss on oil's slump,0
"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .",2
"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable .",2
Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn .,0
The presentation material can be viewed on the company 's website in English after the conference .,1
The company will issue an inaugural Eurobond deal in the near future subject to market conditions .,1
Adobe Receives New Rating from Top Analyst $ADBE https://t.co/LJNXPEvHZN,2
"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .",1
"Exports of goods fell by 59 % , and imports by 16.7 % .",1
The studies are expected to start in 2008 .,1
The name of the buyer was not disclosed .,1
$RNN More bleeding Monday.,0
"Thanksto improvements in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''",2
$FB down 7.5% from this #bearish pattern.  Considering the #bullish sentiment - That's an impressive bearish move https://t.co/TaJF0cH2qh,0
Long $GPRO for a brealout trade,2
The credit covers approximately 70 % of the ship 's price .,1
"The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 .",1
"RT @StockTwits RT @fallondpicks Breadth Consolidates: After weeks of steady gains,advances in mkt breadth slowe... http://stks.co/2TrG $QQQ",0
The passenger tunnel is expected to be put into operation in 2009 .,1
"We can choose the most efficient , best overall value option for our customers already at the bidding stage .",2
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",0
"Ixonos estimates that it will hire 20 specialists in mechanical engineering , electronics design , and R&D for its new unit in Jyvaeskylae by the end of 2009 .",2
"In addition to supplying a new headbox and a modern sizing and coating unit , Vaahto Group will provide erection supervision , training and start-up services .",1
"Combining the two producers will create a strong EU-based fertilizer industry capable of meeting global competition , they added .",2
It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,2
$isrg trading at all-time high after strong earnings report with 4 days of short interest.,2
Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .,1
"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",2
Rio Tinto CEO says iron ore market at equilibrium,1
"Yesterday , Legrand issued its E300 million fixed rate deal maturing 2017 .",1
"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year .",1
"You need to be ready when the window opens up , Rosberg said .",1
The acquisition is part of Ramirent 's Central and Eastern European growth strategy .,1
Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .,2
The other deal is for process cranes to the Russian steel mill PNTZ in Pervorouralsky through an order placed by Turkish construction company Gama Endustri Tesisleri Imalat ve Montaj AS .,1
@Vegastrader66 Looks like good entry for $QIHU here.,2
"Patrick Jeambar will also continue being responsible for Innovation and Health , safety and environment HSEA functions of Ahlstrom Corporation .",1
25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to merge wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal .,0
"@sharkbiotech If anyone is selling/shorting $AGN b/c you believe $ENDP rumors to be realistic, then I'll take the other side of that trade",2
"The company designs and manufactures high-quality clothing , interior decoration textiles , bags , and other accessories .",1
Why not give your bedroom a cool makeover for summer .,1
"According to Finnish Aktia Bank 's Managing Director Jussi Laitinen , the bank 's aim is to triple the number of its customers in Finland in the next five years .",2
`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .,1
The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) .,1
"The business units of the InvestLesProm Group cover the full forest industry chain , and the Group owns forests , sawmills , paper and pulp mills , and other processing plants .",1
"Reporting in accordance with the merged business operations will start as of January 1 , 2011 .",1
The insurer anticipates its share in Nordea 's net profit to be significant .,2
"In the Baltic countries , Atria 's target is organic growth .",1
Autotank Group is part of Aspo 's Systems Division .,1
Okmetic 's silicon wafers are part of a further processing chain that produces end products that improve human interaction and quality of life .,1
`` I warmly welcome Michael Frei to Outotec .,2
"According to Pietinalho , doctors should motivate their patients who smoke every time they visit their doctors .",1
"$IFF technical alerts: Stochastic Sell Signal, 200 DMA Support, and 50 DMA Support  http://stks.co/p12QY",0
Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).,2
Why $MCD looks set to fall further. http://stks.co/f2fgj,0
Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .,1
Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % .,1
"Net sales will , however , increase from 2005 .",2
Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,2
Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India .,2
Basic banking activities continued as normal .,1
"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",1
Through the acquisition Solteq will expand its solutions offering by Microsoft 's Dynamics business software products .,2
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,0
- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs .,2
"The new company will likely hold an IPO on the NYSE or another international stock exchange , according to Altimo which manages the Alfa Group 's telecommunications assets and TeliaSonera 's agreement , which has been published on the website of the U.S. Securities and Exchange Commission .",1
"Exports make up more than 80 per cent of our sales , so the name Glaston also reflects a truly internationally operating company , '' explains Kyro 's President & CEO Mika Seitovirta .",1
Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .,1
The value of the order is USD 2.3 mn .,1
"Karachi , Sept. 14 -- Ixonos , a world leader in the development and integration of solutions for handheld devices , announced that it is implementing a touch screen mobile user interface solution for the Intel Atom processor Z6xx based smartphones .",1
"`` Several growth initiatives in the chosen geographic areas are already ongoing , '' it continued , noting Lindex opened its first store in the Czech Republic this autumn in Brno .",2
The pipeline is strong .,2
"ADPnews - Sep 28 , 2009 - Finnish silicon wafers maker Okmetic Oyj HEL : OKM1V said it will reduce the number of its clerical workers by 22 worldwide as a result of personnel negotiations completed today .",0
"Altona stated that the private company of Altona chairman Kevin Maloney , Tulla Resources , would take up its entitlement in full .",1
Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .,2
"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",2
"According to Swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of Per+Ã±meri , the Northernmost part of the Gulf of Bothnia .",0
"The Liquid Handling segment offers laboratory equipment and accessories , including mechanical and electronic pipettes , and disposable tips used in the research institutions , universities , and hospitals , as well as in the pharmaceutical , food , and other industries under the Biohit brand .",1
"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 .",0
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,2
Kemira shares closed at (  x20ac ) 16.66 ( $ 22US .71 ) .,1
"Elite Residence Tower , a new development by Tameer , is located at the heart of Dubai Marina .",1
The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .,1
@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,2
Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .,1
